configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_output_channel,tiled_kernel_width,tiled_kernel_height,tiled_input_channel,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
alexnet_tile_conv2d_5_0000000,1,1,1,15,15,384,3,3,384,256,1,13,13,256,0,0,0,0,0,0,0,1,15,15,128,3,3,128,1,1,13,13,1,768.0,841099008.0,0.0137,111099.0,8.41099,0.035554,2.595182,0.115230563,299040768
alexnet_tile_conv2d_5_1441334,1,1,1,15,15,384,3,3,384,256,1,13,13,256,1,4,4,1,3,3,4,1,15,15,128,3,3,128,1,1,13,13,1,768.0,710890752.0,0.0127,113190.0,7.108908,0.042066,3.312283,0.0902831316,299040768
alexnet_tile_conv2d_5_1441338,1,1,1,15,15,384,3,3,384,256,1,13,13,256,1,4,4,1,3,3,8,1,15,15,128,3,3,128,1,1,13,13,1,768.0,700912896.0,0.0152,132824.0,7.009129,0.042664,2.806842,0.1065387608,299040768
alexnet_tile_conv2d_5_14413316,1,1,1,15,15,384,3,3,384,256,1,13,13,256,1,4,4,1,3,3,16,1,15,15,128,3,3,128,1,1,13,13,1,768.0,695923968.0,0.0208,175114.0,6.95924,0.04297,2.065865,0.144752192,299040768
alexnet_tile_conv2d_5_14413332,1,1,1,15,15,384,3,3,384,256,1,13,13,256,1,4,4,1,3,3,32,1,15,15,128,3,3,128,1,1,13,13,1,768.0,843631104.0,0.014,120422.0,8.436311,0.035447,2.531929,0.118108354,299040768
alexnet_tile_conv2d_5_14413364,1,1,1,15,15,384,3,3,384,256,1,13,13,256,1,4,4,1,3,3,64,1,15,15,128,3,3,128,1,1,13,13,1,768.0,842228736.0,0.0137,119980.0,8.422287,0.035506,2.591679,0.1153853319,299040768
alexnet_tile_conv2d_5_144133128,1,1,1,15,15,384,3,3,384,256,1,13,13,256,1,4,4,1,3,3,128,1,15,15,128,3,3,128,1,1,13,13,1,768.0,841238784.0,0.0135,115482.0,8.412388,0.035548,2.633185,0.113567238,299040768
alexnet_tile_conv2d_5_1881334,1,1,1,15,15,384,3,3,384,256,1,13,13,256,1,8,8,1,3,3,4,1,15,15,128,3,3,128,1,1,13,13,1,768.0,708913920.0,0.012,108208.0,7.089139,0.042183,3.51525,0.085069668,299040768
alexnet_tile_conv2d_5_1881338,1,1,1,15,15,384,3,3,384,256,1,13,13,256,1,8,8,1,3,3,8,1,15,15,128,3,3,128,1,1,13,13,1,768.0,699919104.0,0.0162,129053.0,6.999191,0.042725,2.637346,0.1133868942,299040768
alexnet_tile_conv2d_5_18813316,1,1,1,15,15,384,3,3,384,256,1,13,13,256,1,8,8,1,3,3,16,1,15,15,128,3,3,128,1,1,13,13,1,768.0,695421696.0,0.0214,169841.0,6.954217,0.043001,2.009393,0.1488202438,299040768
alexnet_tile_conv2d_5_18813332,1,1,1,15,15,384,3,3,384,256,1,13,13,256,1,8,8,1,3,3,32,1,15,15,128,3,3,128,1,1,13,13,1,768.0,843214848.0,0.0135,116162.0,8.432148,0.035464,2.626963,0.113833998,299040768
alexnet_tile_conv2d_5_18813364,1,1,1,15,15,384,3,3,384,256,1,13,13,256,1,8,8,1,3,3,64,1,15,15,128,3,3,128,1,1,13,13,1,768.0,841830912.0,0.013,115722.0,8.418309,0.035523,2.732538,0.109438017,299040768
alexnet_tile_conv2d_5_188133128,1,1,1,15,15,384,3,3,384,256,1,13,13,256,1,8,8,1,3,3,128,1,15,15,128,3,3,128,1,1,13,13,1,768.0,841135872.0,0.0124,112491.0,8.411359,0.035552,2.867097,0.1043008516,299040768
alexnet_tile_conv2d_5_113131334,1,1,1,15,15,384,3,3,384,256,1,13,13,256,1,13,13,1,3,3,4,1,15,15,128,3,3,128,1,1,13,13,1,768.0,707877120.0,0.013,108120.0,7.078771,0.042245,3.249615,0.092024023,299040768
alexnet_tile_conv2d_5_113131338,1,1,1,15,15,384,3,3,384,256,1,13,13,256,1,13,13,1,3,3,8,1,15,15,128,3,3,128,1,1,13,13,1,768.0,699398400.0,0.0146,128272.0,6.993984,0.042757,2.928562,0.1021121664,299040768
alexnet_tile_conv2d_5_1131313316,1,1,1,15,15,384,3,3,384,256,1,13,13,256,1,13,13,1,3,3,16,1,15,15,128,3,3,128,1,1,13,13,1,768.0,695159040.0,0.0196,170582.0,6.95159,0.043018,2.194796,0.136251164,299040768
alexnet_tile_conv2d_5_1131313332,1,1,1,15,15,384,3,3,384,256,1,13,13,256,1,13,13,1,3,3,32,1,15,15,128,3,3,128,1,1,13,13,1,768.0,843081216.0,0.0137,116297.0,8.430812,0.03547,2.589051,0.1155021244,299040768
alexnet_tile_conv2d_5_1131313364,1,1,1,15,15,384,3,3,384,256,1,13,13,256,1,13,13,1,3,3,64,1,15,15,128,3,3,128,1,1,13,13,1,768.0,841761792.0,0.0137,115782.0,8.417618,0.035526,2.593139,0.1153213666,299040768
