configuration,input_batch,input_width,input_height,weight_batch,weight_width,weight_height,output_batch,output_width,output_height,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_kernel_width,actual_input_batch,actual_input_width,actual_input_height,actual_weight_batch,actual_weight_width,actual_weight_height,actual_output_batch,actual_output_width,actual_output_height,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
vgg16_tile_matmul_3_113264,1,1,4096,1,4096,1000,1,1,1000,1,1,32,64,1,1,128,1,128,125,1,1,125,256.0,34641152.0,0.00483,43250.0,0.346412,0.023648,4.896066,0.00167316996,8192000
vgg16_tile_matmul_3_1132128,1,1,4096,1,4096,1000,1,1,1000,1,1,32,128,1,1,128,1,128,125,1,1,125,256.0,38607104.0,0.00602,53420.0,0.386071,0.021219,3.524751,0.00232414742,8192000
vgg16_tile_matmul_3_11644,1,1,4096,1,4096,1000,1,1,1000,1,1,64,4,1,1,128,1,128,125,1,1,125,256.0,33441024.0,0.00714,61071.0,0.33441,0.024497,3.430952,0.0023876874,8192000
vgg16_tile_matmul_3_11648,1,1,4096,1,4096,1000,1,1,1000,1,1,64,8,1,1,128,1,128,125,1,1,125,256.0,31938560.0,0.00968,81202.0,0.319386,0.025649,2.64969,0.00309165648,8192000
vgg16_tile_matmul_3_116416,1,1,4096,1,4096,1000,1,1,1000,1,1,64,16,1,1,128,1,128,125,1,1,125,256.0,31124736.0,0.0147,118453.0,0.311247,0.02632,1.790476,0.0045753309,8192000
vgg16_tile_matmul_3_116432,1,1,4096,1,4096,1000,1,1,1000,1,1,64,32,1,1,128,1,128,125,1,1,125,256.0,38991104.0,0.00879,75173.0,0.389911,0.02101,2.390216,0.00342731769,8192000
vgg16_tile_matmul_3_116464,1,1,4096,1,4096,1000,1,1,1000,1,1,64,64,1,1,128,1,128,125,1,1,125,256.0,38735104.0,0.00617,53447.0,0.387351,0.021149,3.427715,0.00238995567,8192000
vgg16_tile_matmul_3_1164128,1,1,4096,1,4096,1000,1,1,1000,1,1,64,128,1,1,128,1,128,125,1,1,125,256.0,34511104.0,0.00466,40701.0,0.345111,0.023737,5.093777,0.00160821726,8192000
vgg16_tile_matmul_3_111254,1,1,4096,1,4096,1000,1,1,1000,1,1,125,4,1,1,128,1,128,125,1,1,125,256.0,33441792.0,0.00579,49673.0,0.334418,0.024496,4.230743,0.00193628022,8192000
vgg16_tile_matmul_3_111258,1,1,4096,1,4096,1000,1,1,1000,1,1,125,8,1,1,128,1,128,125,1,1,125,256.0,31897600.0,0.00693,60164.0,0.318976,0.025682,3.705916,0.00221050368,8192000
vgg16_tile_matmul_3_1112516,1,1,4096,1,4096,1000,1,1,1000,1,1,125,16,1,1,128,1,128,125,1,1,125,256.0,31125504.0,0.0095,80862.0,0.311255,0.026319,2.770421,0.0029569225,8192000
vgg16_tile_matmul_3_1112532,1,1,4096,1,4096,1000,1,1,1000,1,1,125,32,1,1,128,1,128,125,1,1,125,256.0,38991104.0,0.00602,52877.0,0.389911,0.02101,3.490033,0.00234726422,8192000
vgg16_tile_matmul_3_1112564,1,1,4096,1,4096,1000,1,1,1000,1,1,125,64,1,1,128,1,128,125,1,1,125,256.0,34639104.0,0.00462,40808.0,0.346391,0.02365,5.119048,0.00160032642,8192000
