configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,unroll_full,unroll_factor,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
resnet18_unroll_conv2d_11_unroll_0_factor_0,2,1,1,29,29,128,3,3,128,256,1,14,14,256,0,0,1,29,29,32,3,3,32,1,1,14,14,1,1024.0,290234368.0,0.00488,44608.0,2.902344,0.039832,8.162295,0.01416343872,115605504
resnet18_unroll_conv2d_11_unroll_1_factor_4,2,1,1,29,29,128,3,3,128,256,1,14,14,256,1,4,1,29,29,32,3,3,32,1,1,14,14,1,1024.0,233234432.0,0.00426,38141.0,2.332344,0.049566,11.635211,0.00993578544,115605504
resnet18_unroll_conv2d_11_unroll_1_factor_8,2,1,1,29,29,128,3,3,128,256,1,14,14,256,1,8,1,29,29,32,3,3,32,1,1,14,14,1,1024.0,236861440.0,0.00311,28496.0,2.368614,0.048807,15.693569,0.00736638954,115605504
resnet18_unroll_conv2d_11_unroll_1_factor_16,2,1,1,29,29,128,3,3,128,256,1,14,14,256,1,16,1,29,29,32,3,3,32,1,1,14,14,1,1024.0,236861440.0,0.0044,38673.0,2.368614,0.048807,11.0925,0.0104219016,115605504
resnet18_unroll_conv2d_11_unroll_1_factor_0,2,1,1,29,29,128,3,3,128,256,1,14,14,256,1,0,1,29,29,32,3,3,32,1,1,14,14,1,1024.0,233248768.0,0.00739,64450.0,2.332488,0.049563,6.706766,0.01723708632,115605504
resnet18_unroll_conv2d_11_unroll_2_factor_0,2,1,1,29,29,128,3,3,128,256,1,14,14,256,2,0,1,29,29,32,3,3,32,1,1,14,14,1,1024.0,232044544.0,0.02,153025.0,2.320445,0.04982,2.491,0.0464089,115605504
resnet18_unroll_conv2d_11_unroll_3_factor_0,2,1,1,29,29,128,3,3,128,256,1,14,14,256,3,0,1,29,29,32,3,3,32,1,1,14,14,1,1024.0,176840704.0,0.063,506324.0,1.768407,0.065373,1.037667,0.111409641,115605504
resnet18_unroll_conv2d_12_unroll_0_factor_0,1,1,1,16,16,256,3,3,256,256,1,14,14,256,0,0,1,16,16,32,3,3,32,1,1,14,14,1,2048.0,580067328.0,0.00487,44111.0,5.800673,0.039859,8.1846,0.02824927751,231211008
resnet18_unroll_conv2d_12_unroll_1_factor_4,1,1,1,16,16,256,3,3,256,256,1,14,14,256,1,4,1,16,16,32,3,3,32,1,1,14,14,1,2048.0,466468864.0,0.00432,38468.0,4.664689,0.049566,11.473611,0.02015145648,231211008
resnet18_unroll_conv2d_12_unroll_1_factor_8,1,1,1,16,16,256,3,3,256,256,1,14,14,256,1,8,1,16,16,32,3,3,32,1,1,14,14,1,2048.0,473722880.0,0.00355,28406.0,4.737229,0.048807,13.748451,0.01681716295,231211008
