configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,permuation_order_1,permuation_order_2,permuation_order_3,permuation_order_4,permuation_order_5,permuation_order_6,permuation_order_7,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
resnet18_permute_conv2d_2_0123645,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,2,3,5,6,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511205888.0,0.00985,87246.0,5.112059,0.045229,4.591777,0.05035378115,231211008
resnet18_permute_conv2d_2_0123654,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,2,3,6,5,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511205888.0,0.00995,88174.0,5.112059,0.045229,4.545628,0.05086498705,231211008
resnet18_permute_conv2d_3_0123456,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,2,3,4,5,6,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511206912.0,0.0111,97440.0,5.112069,0.045228,4.074595,0.0567439659,231211008
resnet18_permute_conv2d_3_0123465,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,2,3,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,512.0,394032640.0,0.023,171064.0,3.940326,0.058678,2.551217,0.090627498,231211008
resnet18_permute_conv2d_3_0123546,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,2,3,5,4,6,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511205888.0,0.0109,96615.0,5.112059,0.045229,4.14945,0.0557214431,231211008
resnet18_permute_conv2d_3_0123564,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,2,3,6,4,5,1,58,58,8,3,3,8,1,1,56,56,1,512.0,394032640.0,0.0212,169167.0,3.940326,0.058678,2.76783,0.0835349112,231211008
resnet18_permute_conv2d_3_0123645,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,2,3,5,6,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511205888.0,0.0098,86829.0,5.112059,0.045229,4.615204,0.0500981782,231211008
resnet18_permute_conv2d_3_0123654,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,2,3,6,5,4,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511205888.0,0.00988,87640.0,5.112059,0.045229,4.577834,0.05050714292,231211008
resnet18_permute_conv2d_4_0123456,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,2,3,4,5,6,1,58,58,8,3,3,8,1,1,56,56,1,512.0,511206912.0,0.0109,96707.0,5.112069,0.045228,4.149358,0.0557215521,231211008
resnet18_permute_conv2d_4_0123465,1,1,1,58,58,64,3,3,64,64,1,56,56,64,0,1,2,3,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,512.0,394032640.0,0.0219,169237.0,3.940326,0.058678,2.679361,0.0862931394,231211008
