configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_output_channel,tiled_kernel_width,tiled_kernel_height,tiled_input_channel,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
vgg16_tile_conv2d_12_1141413316,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,14,14,1,3,3,16,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2143952896.0,0.0196,160303.0,21.439529,0.043137,2.200867,0.4202147684,924844032
vgg16_tile_conv2d_12_1141413332,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,14,14,1,3,3,32,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2600632320.0,0.0144,121705.0,26.006323,0.035562,2.469583,0.3744910512,924844032
vgg16_tile_conv2d_12_1141413364,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,14,14,1,3,3,64,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2596556800.0,0.0142,121715.0,25.965568,0.035618,2.50831,0.3687110656,924844032
vgg16_tile_conv2d_13_0000000,1,1,1,16,16,512,3,3,512,512,1,14,14,512,0,0,0,0,0,0,0,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2594516992.0,0.0132,116555.0,25.94517,0.035646,2.700455,0.342476244,924844032
vgg16_tile_conv2d_13_1441334,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,4,4,1,3,3,4,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2190917632.0,0.013,116584.0,21.909176,0.042213,3.247154,0.284819288,924844032
vgg16_tile_conv2d_13_1441338,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,4,4,1,3,3,8,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2160508928.0,0.0149,131003.0,21.605089,0.042807,2.872953,0.3219158261,924844032
vgg16_tile_conv2d_13_14413316,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,4,4,1,3,3,16,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2145304576.0,0.0186,166353.0,21.453046,0.04311,2.317742,0.3990266556,924844032
vgg16_tile_conv2d_13_14413332,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,4,4,1,3,3,32,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2601730048.0,0.0146,125688.0,26.0173,0.035547,2.434726,0.37985258,924844032
vgg16_tile_conv2d_13_14413364,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,4,4,1,3,3,64,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2597126144.0,0.0142,125572.0,25.971261,0.03561,2.507746,0.3687919062,924844032
vgg16_tile_conv2d_13_144133128,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,4,4,1,3,3,128,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2594824192.0,0.0138,121557.0,25.948242,0.035642,2.582754,0.3580857396,924844032
vgg16_tile_conv2d_13_1881334,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,8,8,1,3,3,4,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2186215424.0,0.0123,111264.0,21.862154,0.042303,3.439268,0.2689044942,924844032
vgg16_tile_conv2d_13_1881338,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,8,8,1,3,3,8,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2158428160.0,0.0143,127213.0,21.584282,0.042848,2.996364,0.3086552326,924844032
vgg16_tile_conv2d_13_18813316,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,8,8,1,3,3,16,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2144534528.0,0.0192,160852.0,21.445345,0.043126,2.246146,0.411750624,924844032
vgg16_tile_conv2d_13_18813332,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,8,8,1,3,3,32,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2601570304.0,0.0142,121371.0,26.015703,0.035549,2.503451,0.3694229826,924844032
vgg16_tile_conv2d_13_18813364,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,8,8,1,3,3,64,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2596753408.0,0.0142,121056.0,25.967534,0.035615,2.508099,0.3687389828,924844032
vgg16_tile_conv2d_13_188133128,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,8,8,1,3,3,128,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2594648064.0,0.014,117525.0,25.946481,0.035644,2.546,0.363250734,924844032
vgg16_tile_conv2d_13_114141334,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,14,14,1,3,3,4,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2183962624.0,0.0124,111109.0,21.839626,0.042347,3.415081,0.2708113624,924844032
vgg16_tile_conv2d_13_114141338,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,14,14,1,3,3,8,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2157289472.0,0.0142,127124.0,21.572895,0.042871,3.019085,0.306335109,924844032
vgg16_tile_conv2d_13_1141413316,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,14,14,1,3,3,16,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2143952896.0,0.0184,160865.0,21.439529,0.043137,2.344402,0.3944873336,924844032
vgg16_tile_conv2d_13_1141413332,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,14,14,1,3,3,32,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2600632320.0,0.0138,121246.0,26.006323,0.035562,2.576957,0.3588872574,924844032
vgg16_tile_conv2d_13_1141413364,1,1,1,16,16,512,3,3,512,512,1,14,14,512,1,14,14,1,3,3,64,1,16,16,128,3,3,128,1,1,14,14,1,2048.0,2596556800.0,0.0137,121623.0,25.965568,0.035618,2.599854,0.3557282816,924844032
