configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,permuation_order_1,permuation_order_2,permuation_order_3,permuation_order_4,permuation_order_5,permuation_order_6,permuation_order_7,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
vgg16_permute_conv2d_4_0123645,1,1,1,114,114,128,3,3,128,128,1,112,112,128,0,1,2,3,5,6,4,1,114,114,1,3,3,1,1,1,112,112,1,16384.0,8465072128.0,0.00746,63039.0,84.650721,0.043702,5.858177,0.63149437866,3699376128
vgg16_permute_conv2d_4_0123654,1,1,1,114,114,128,3,3,128,128,1,112,112,128,0,1,2,3,6,5,4,1,114,114,1,3,3,1,1,1,112,112,1,16384.0,8465072128.0,0.00748,62115.0,84.650721,0.043702,5.842513,0.63318739308,3699376128
vgg16_permute_conv2d_5_0123456,1,1,1,58,58,128,3,3,128,256,1,56,56,256,0,1,2,3,4,5,6,1,58,58,8,3,3,8,1,1,56,56,1,4096.0,4089655296.0,0.011,97363.0,40.896553,0.045228,4.111636,0.449862083,1849688064
vgg16_permute_conv2d_5_0123465,1,1,1,58,58,128,3,3,128,256,1,56,56,256,0,1,2,3,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,4096.0,3152261120.0,0.0226,170520.0,31.522611,0.058678,2.596372,0.7124110086,1849688064
vgg16_permute_conv2d_5_0123546,1,1,1,58,58,128,3,3,128,256,1,56,56,256,0,1,2,3,5,4,6,1,58,58,8,3,3,8,1,1,56,56,1,4096.0,4089647104.0,0.0111,97511.0,40.896471,0.045229,4.074685,0.4539508281,1849688064
vgg16_permute_conv2d_5_0123564,1,1,1,58,58,128,3,3,128,256,1,56,56,256,0,1,2,3,6,4,5,1,58,58,8,3,3,8,1,1,56,56,1,4096.0,3152261120.0,0.0227,170321.0,31.522611,0.058678,2.584934,0.7155632697,1849688064
vgg16_permute_conv2d_5_0123645,1,1,1,58,58,128,3,3,128,256,1,56,56,256,0,1,2,3,5,6,4,1,58,58,8,3,3,8,1,1,56,56,1,4096.0,4089647104.0,0.00978,86805.0,40.896471,0.045229,4.624642,0.39996748638,1849688064
vgg16_permute_conv2d_5_0123654,1,1,1,58,58,128,3,3,128,256,1,56,56,256,0,1,2,3,6,5,4,1,58,58,8,3,3,8,1,1,56,56,1,4096.0,4089647104.0,0.00987,87489.0,40.896471,0.045229,4.582472,0.40364816877,1849688064
vgg16_permute_conv2d_6_0123456,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,1,2,3,4,5,6,1,58,58,8,3,3,8,1,1,56,56,1,8192.0,8179310592.0,0.0109,96147.0,81.793106,0.045228,4.149358,0.8915448554,3699376128
vgg16_permute_conv2d_6_0123465,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,1,2,3,4,6,5,1,58,58,8,3,3,8,1,1,56,56,1,8192.0,6304522240.0,0.0223,170066.0,63.045222,0.058678,2.6313,1.4059084506,3699376128
vgg16_permute_conv2d_6_0123546,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,1,2,3,5,4,6,1,58,58,8,3,3,8,1,1,56,56,1,8192.0,8179294208.0,0.0111,97914.0,81.792942,0.045229,4.074685,0.9079016562,3699376128
vgg16_permute_conv2d_6_0123564,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,1,2,3,6,4,5,1,58,58,8,3,3,8,1,1,56,56,1,8192.0,6304522240.0,0.0223,170171.0,63.045222,0.058678,2.6313,1.4059084506,3699376128
vgg16_permute_conv2d_6_0123645,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,1,2,3,5,6,4,1,58,58,8,3,3,8,1,1,56,56,1,8192.0,8179294208.0,0.00976,87007.0,81.792942,0.045229,4.634119,0.79829911392,3699376128
vgg16_permute_conv2d_6_0123654,1,1,1,58,58,256,3,3,256,256,1,56,56,256,0,1,2,3,6,5,4,1,58,58,8,3,3,8,1,1,56,56,1,8192.0,8179294208.0,0.00974,87472.0,81.792942,0.045229,4.643634,0.79666325508,3699376128
