configuration,input_batch,input_width,input_height,weight_batch,weight_width,weight_height,output_batch,output_width,output_height,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_kernel_width,actual_input_batch,actual_input_width,actual_input_height,actual_weight_batch,actual_weight_width,actual_weight_height,actual_output_batch,actual_output_width,actual_output_height,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
alexnet_tile_matmul_2_11416,1,1,4096,1,4096,4096,1,1,4096,1,1,4,16,1,1,128,1,128,128,1,1,128,1024.0,115974144.0,0.0145,124451.0,1.159741,0.028933,1.995379,0.0168162445,33554432
alexnet_tile_matmul_2_11432,1,1,4096,1,4096,4096,1,1,4096,1,1,4,32,1,1,128,1,128,128,1,1,128,1024.0,158179328.0,0.00545,48528.0,1.581793,0.021213,3.892294,0.00862077185,33554432
alexnet_tile_matmul_2_11464,1,1,4096,1,4096,4096,1,1,4096,1,1,4,64,1,1,128,1,128,128,1,1,128,1024.0,157917184.0,0.00668,59018.0,1.579172,0.021248,3.180838,0.01054886896,33554432
alexnet_tile_matmul_2_114128,1,1,4096,1,4096,4096,1,1,4096,1,1,4,128,1,1,128,1,128,128,1,1,128,1024.0,158015488.0,0.00526,46210.0,1.580155,0.021235,4.037072,0.0083116153,33554432
alexnet_tile_matmul_2_1184,1,1,4096,1,4096,4096,1,1,4096,1,1,8,4,1,1,128,1,128,128,1,1,128,1024.0,139894784.0,0.00543,45991.0,1.398948,0.023985,4.417127,0.00759628764,33554432
alexnet_tile_matmul_2_1188,1,1,4096,1,4096,4096,1,1,4096,1,1,8,8,1,1,128,1,128,128,1,1,128,1024.0,133079040.0,0.00629,54129.0,1.33079,0.025214,4.008585,0.0083706691,33554432
alexnet_tile_matmul_2_11816,1,1,4096,1,4096,4096,1,1,4096,1,1,8,16,1,1,128,1,128,128,1,1,128,1024.0,129671168.0,0.0086,68592.0,1.296712,0.025877,3.008953,0.0111517232,33554432
alexnet_tile_matmul_2_11832,1,1,4096,1,4096,4096,1,1,4096,1,1,8,32,1,1,128,1,128,128,1,1,128,1024.0,158031872.0,0.00751,66323.0,1.580319,0.021233,2.827297,0.01186819569,33554432
alexnet_tile_matmul_2_11864,1,1,4096,1,4096,4096,1,1,4096,1,1,8,64,1,1,128,1,128,128,1,1,128,1024.0,158244864.0,0.0107,88469.0,1.582449,0.021204,1.981682,0.0169322043,33554432
alexnet_tile_matmul_2_118128,1,1,4096,1,4096,4096,1,1,4096,1,1,8,128,1,1,128,1,128,128,1,1,128,1024.0,157982720.0,0.00698,60834.0,1.579827,0.021239,3.042837,0.01102719246,33554432
alexnet_tile_matmul_2_11164,1,1,4096,1,4096,4096,1,1,4096,1,1,16,4,1,1,128,1,128,128,1,1,128,1024.0,138305536.0,0.00544,46310.0,1.383055,0.024261,4.459743,0.0075238192,33554432
alexnet_tile_matmul_2_11168,1,1,4096,1,4096,4096,1,1,4096,1,1,16,8,1,1,128,1,128,128,1,1,128,1024.0,131751936.0,0.00629,53893.0,1.317519,0.025468,4.048967,0.00828719451,33554432
alexnet_tile_matmul_2_111616,1,1,4096,1,4096,4096,1,1,4096,1,1,16,16,1,1,128,1,128,128,1,1,128,1024.0,128475136.0,0.00847,68399.0,1.284751,0.026117,3.083471,0.01088184097,33554432
alexnet_tile_matmul_2_111632,1,1,4096,1,4096,4096,1,1,4096,1,1,16,32,1,1,128,1,128,128,1,1,128,1024.0,159801344.0,0.00595,52147.0,1.598013,0.020998,3.529076,0.00950817735,33554432
alexnet_tile_matmul_2_111664,1,1,4096,1,4096,4096,1,1,4096,1,1,16,64,1,1,128,1,128,128,1,1,128,1024.0,141975552.0,0.00469,40666.0,1.419756,0.023634,5.039232,0.00665865564,33554432
alexnet_tile_matmul_2_1116128,1,1,4096,1,4096,4096,1,1,4096,1,1,16,128,1,1,128,1,128,128,1,1,128,1024.0,158212096.0,0.00797,69584.0,1.582121,0.021209,2.661104,0.01260950437,33554432
alexnet_tile_matmul_2_11324,1,1,4096,1,4096,4096,1,1,4096,1,1,32,4,1,1,128,1,128,128,1,1,128,1024.0,137510912.0,0.00547,45722.0,1.375109,0.024401,4.460878,0.00752184623,33554432
alexnet_tile_matmul_2_11328,1,1,4096,1,4096,4096,1,1,4096,1,1,32,8,1,1,128,1,128,128,1,1,128,1024.0,131088384.0,0.00655,53665.0,1.310884,0.025597,3.907939,0.0085862902,33554432
alexnet_tile_matmul_2_113216,1,1,4096,1,4096,4096,1,1,4096,1,1,32,16,1,1,128,1,128,128,1,1,128,1024.0,127877120.0,0.00842,68137.0,1.278771,0.02624,3.11639,0.01076725182,33554432
alexnet_tile_matmul_2_113232,1,1,4096,1,4096,4096,1,1,4096,1,1,32,32,1,1,128,1,128,128,1,1,128,1024.0,159793152.0,0.00585,52193.0,1.597932,0.020999,3.589573,0.0093479022,33554432
alexnet_tile_matmul_2_113264,1,1,4096,1,4096,4096,1,1,4096,1,1,32,64,1,1,128,1,128,128,1,1,128,1024.0,158736384.0,0.00817,69805.0,1.587364,0.021138,2.587271,0.01296876388,33554432
alexnet_tile_matmul_2_1132128,1,1,4096,1,4096,4096,1,1,4096,1,1,32,128,1,1,128,1,128,128,1,1,128,1024.0,158212096.0,0.00563,49740.0,1.582121,0.021209,3.76714,0.00890734123,33554432
alexnet_tile_matmul_2_11644,1,1,4096,1,4096,4096,1,1,4096,1,1,64,4,1,1,128,1,128,128,1,1,128,1024.0,137109504.0,0.00678,56024.0,1.371095,0.024473,3.609587,0.0092960241,33554432
alexnet_tile_matmul_2_11648,1,1,4096,1,4096,4096,1,1,4096,1,1,64,8,1,1,128,1,128,128,1,1,128,1024.0,130752512.0,0.00878,70864.0,1.307525,0.025663,2.922893,0.0114800695,33554432
alexnet_tile_matmul_2_116416,1,1,4096,1,4096,4096,1,1,4096,1,1,64,16,1,1,128,1,128,128,1,1,128,1024.0,127574016.0,0.0125,100072.0,1.27574,0.026302,2.10416,0.01594675,33554432
alexnet_tile_matmul_2_116432,1,1,4096,1,4096,4096,1,1,4096,1,1,64,32,1,1,128,1,128,128,1,1,128,1024.0,159784960.0,0.00802,70136.0,1.59785,0.021,2.618454,0.012814757,33554432
alexnet_tile_matmul_2_116464,1,1,4096,1,4096,4096,1,1,4096,1,1,64,64,1,1,128,1,128,128,1,1,128,1024.0,158736384.0,0.00566,49986.0,1.587364,0.021138,3.734629,0.00898448024,33554432
alexnet_tile_matmul_2_1164128,1,1,4096,1,4096,4096,1,1,4096,1,1,64,128,1,1,128,1,128,128,1,1,128,1024.0,141434880.0,0.00442,38902.0,1.414349,0.023724,5.367421,0.00625142258,33554432
alexnet_tile_matmul_2_111284,1,1,4096,1,4096,4096,1,1,4096,1,1,128,4,1,1,128,1,128,128,1,1,128,1024.0,136912896.0,0.00524,44862.0,1.369129,0.024508,4.677099,0.00717423596,33554432
alexnet_tile_matmul_2_111288,1,1,4096,1,4096,4096,1,1,4096,1,1,128,8,1,1,128,1,128,128,1,1,128,1024.0,130588672.0,0.00616,52270.0,1.305887,0.025695,4.171266,0.00804426392,33554432
alexnet_tile_matmul_2_1112816,1,1,4096,1,4096,4096,1,1,4096,1,1,128,16,1,1,128,1,128,128,1,1,128,1024.0,127426560.0,0.00808,66994.0,1.274266,0.026332,3.258911,0.01029606928,33554432
alexnet_tile_matmul_2_1112832,1,1,4096,1,4096,4096,1,1,4096,1,1,128,32,1,1,128,1,128,128,1,1,128,1024.0,159784960.0,0.0056,49552.0,1.59785,0.021,3.75,0.00894796,33554432
alexnet_tile_matmul_2_1112864,1,1,4096,1,4096,4096,1,1,4096,1,1,128,64,1,1,128,1,128,128,1,1,128,1024.0,141959168.0,0.00449,38809.0,1.419592,0.023637,5.264365,0.00637396808,33554432
alexnet_tile_matmul_3_0000,1,1,4096,1,4096,1000,1,1,1000,0,0,0,0,1,1,128,1,128,125,1,1,125,256.0,34511104.0,0.00454,36055.0,0.345111,0.023737,5.228414,0.00156680394,8192000
alexnet_tile_matmul_3_1144,1,1,4096,1,4096,1000,1,1,1000,1,1,4,4,1,1,128,1,128,125,1,1,125,256.0,35244032.0,0.0059,51098.0,0.35244,0.023244,3.939661,0.002079396,8192000
alexnet_tile_matmul_3_1148,1,1,4096,1,4096,1000,1,1,1000,1,1,4,8,1,1,128,1,128,125,1,1,125,256.0,33314816.0,0.00748,62642.0,0.333148,0.02459,3.287433,0.00249194704,8192000
alexnet_tile_matmul_3_11416,1,1,4096,1,4096,1000,1,1,1000,1,1,4,16,1,1,128,1,128,125,1,1,125,256.0,32350208.0,0.00978,83972.0,0.323502,0.025323,2.589264,0.00316384956,8192000
alexnet_tile_matmul_3_11432,1,1,4096,1,4096,1000,1,1,1000,1,1,4,32,1,1,128,1,128,125,1,1,125,256.0,39007488.0,0.00634,55984.0,0.390075,0.021001,3.312461,0.0024730755,8192000
alexnet_tile_matmul_3_11464,1,1,4096,1,4096,1000,1,1,1000,1,1,4,64,1,1,128,1,128,125,1,1,125,256.0,34655488.0,0.00484,43138.0,0.346555,0.023638,4.883884,0.0016773262,8192000
