configuration,strides,dilation,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channel,kernel_multiplier,output_batch,output_width,output_height,output_channel,output_multiplier,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_input_channel,tiled_kernel_width,tiled_kernel_height,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
mobilenetv3_small_tile_depthwise_conv2d_multiplier_4_11414455,2,1,1,31,31,96,5,5,96,1,1,14,14,96,1,1,14,14,4,5,5,1,31,31,32,5,5,32,1,14,14,32,3.0,2476938.0,0.0132,110444.0,0.024769,0.037983,2.8775,0.0003269508,940800
mobilenetv3_small_tile_depthwise_conv2d_multiplier_4_11414855,2,1,1,31,31,96,5,5,96,1,1,14,14,96,1,1,14,14,8,5,5,1,31,31,32,5,5,32,1,14,14,32,3.0,2474406.0,0.013,109661.0,0.024744,0.038021,2.924692,0.000321672,940800
mobilenetv3_small_tile_depthwise_conv2d_multiplier_4_114141655,2,1,1,31,31,96,5,5,96,1,1,14,14,96,1,1,14,14,16,5,5,1,31,31,32,5,5,32,1,14,14,32,3.0,2473140.0,0.0127,107762.0,0.024731,0.038041,2.995354,0.0003140837,940800
mobilenetv3_small_tile_depthwise_conv2d_multiplier_5_000000,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,0,0,0,0,0,0,1,18,18,30,5,5,30,1,14,14,30,8.0,5565400.0,0.0139,120068.0,0.055654,0.042261,3.04036,0.0007735906,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_5_144433,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,4,4,4,3,3,1,18,18,30,5,5,30,1,14,14,30,8.0,6594920.0,0.00988,92949.0,0.065949,0.035664,3.609717,0.00065157612,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_5_144833,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,4,4,8,3,3,1,18,18,30,5,5,30,1,14,14,30,8.0,6502760.0,0.00984,92683.0,0.065028,0.036169,3.675711,0.00063987552,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_5_1441633,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,4,4,16,3,3,1,18,18,30,5,5,30,1,14,14,30,8.0,6444136.0,0.00959,91574.0,0.064441,0.036499,3.805944,0.00061798919,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_5_1443033,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,4,4,30,3,3,1,18,18,30,5,5,30,1,14,14,30,8.0,6427240.0,0.00952,90022.0,0.064272,0.036594,3.843908,0.00061186944,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_5_188433,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,8,8,4,3,3,1,18,18,30,5,5,30,1,14,14,30,8.0,6576120.0,0.0094,88212.0,0.065761,0.035766,3.804894,0.0006181534,2352000
mobilenetv3_small_tile_depthwise_conv2d_multiplier_5_188833,1,1,1,18,18,240,5,5,240,1,1,14,14,240,1,1,8,8,8,3,3,1,18,18,30,5,5,30,1,14,14,30,8.0,6493304.0,0.00927,87399.0,0.064933,0.036222,3.907443,0.00060192891,2352000
