configuration,strides,dilation,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channel,kernel_multiplier,output_batch,output_width,output_height,output_channel,output_multiplier,unroll_full,unroll_factor,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_3_unroll_2_factor_0,1,1,1,58,58,72,3,3,72,1,1,56,56,72,1,2,0,1,58,58,24,3,3,24,1,56,56,24,3.0,8815470.0,0.0037,34751.0,0.088155,0.046104,12.460541,0.0003261735,4064256
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_3_unroll_3_factor_4,1,1,1,58,58,72,3,3,72,1,1,56,56,72,1,3,4,1,58,58,24,3,3,24,1,56,56,24,3.0,5428590.0,0.00922,87293.0,0.054286,0.074867,8.120065,0.00050051692,4064256
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_3_unroll_3_factor_8,1,1,1,58,58,72,3,3,72,1,1,56,56,72,1,3,8,1,58,58,24,3,3,24,1,56,56,24,3.0,4920558.0,0.017,151997.0,0.049206,0.082597,4.858647,0.000836502,4064256
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_3_unroll_3_factor_16,1,1,1,58,58,72,3,3,72,1,1,56,56,72,1,3,16,1,58,58,24,3,3,24,1,56,56,24,3.0,4683648.0,0.0425,342677.0,0.046836,0.086776,2.041788,0.00199053,4064256
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_3_unroll_3_factor_0,1,1,1,58,58,72,3,3,72,1,1,56,56,72,1,3,0,1,58,58,24,3,3,24,1,56,56,24,3.0,2560128.0,0.057,462793.0,0.025601,0.158754,2.785158,0.001459257,4064256
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_4_unroll_0_factor_0,2,1,1,59,59,72,5,5,72,1,1,28,28,72,1,0,0,1,59,59,8,5,5,8,1,28,28,8,9.0,5821470.0,0.0074,71165.0,0.058215,0.048482,6.551622,0.000430791,2822400
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_4_unroll_1_factor_4,2,1,1,59,59,72,5,5,72,1,1,28,28,72,1,1,4,1,59,59,8,5,5,8,1,28,28,8,9.0,5885226.0,0.00256,24911.0,0.058852,0.047958,18.733594,0.00015066112,2822400
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_4_unroll_1_factor_0,2,1,1,59,59,72,5,5,72,1,1,28,28,72,1,1,0,1,59,59,8,5,5,8,1,28,28,8,9.0,5885226.0,0.00257,24905.0,0.058852,0.047958,18.6607,0.00015124964,2822400
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_4_unroll_2_factor_4,2,1,1,59,59,72,5,5,72,1,1,28,28,72,1,2,4,1,59,59,8,5,5,8,1,28,28,8,9.0,5828778.0,0.00745,70582.0,0.058288,0.048422,6.499597,0.0004342456,2822400
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_4_unroll_2_factor_0,2,1,1,59,59,72,5,5,72,1,1,28,28,72,1,2,0,1,59,59,8,5,5,8,1,28,28,8,9.0,5828778.0,0.00753,70148.0,0.058288,0.048422,6.430544,0.00043890864,2822400
mobilenetv3_large_unroll_depthwise_conv2d_multiplier_4_unroll_3_factor_4,2,1,1,59,59,72,5,5,72,1,1,28,28,72,1,3,4,1,59,59,8,5,5,8,1,28,28,8,9.0,3627306.0,0.0191,167340.0,0.036273,0.07781,4.073822,0.0006928143,2822400
