configuration,strides,dilations,input_batch,input_width,input_height,input_channel,kernel_width,kernel_height,kernel_input_channels,kernel_output_channels,output_batch,output_width,output_height,output_channel,tiled_output_batch,tiled_output_width,tiled_output_height,tiled_output_channel,tiled_kernel_width,tiled_kernel_height,tiled_input_channel,actual_input_batch,actual_input_width,actual_input_height,actual_input_channel,actual_kernel_width,actual_kernel_height,actual_kernel_input_channels,actual_kernel_output_channels,actual_output_batch,actual_output_width,actual_output_height,actual_output_channel,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
resnet18_tile_conv2d_19_1771338,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,7,7,1,3,3,8,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,564097024.0,0.0205,174674.0,5.64097,0.040988,1.999415,0.115639885,231211008
resnet18_tile_conv2d_19_17713316,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,7,7,1,3,3,16,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,560754688.0,0.0283,216144.0,5.607547,0.041232,1.456961,0.1586935801,231211008
resnet18_tile_conv2d_19_17713332,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,7,7,1,3,3,32,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,675164160.0,0.0189,160301.0,6.751642,0.034245,1.811905,0.1276060338,231211008
resnet18_tile_conv2d_19_17713364,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,7,7,1,3,3,64,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,674054144.0,0.0194,161318.0,6.740541,0.034302,1.768144,0.1307664954,231211008
resnet18_tile_conv2d_20_0000000,1,1,1,9,9,512,3,3,512,512,1,7,7,512,0,0,0,0,0,0,0,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,673533952.0,0.0186,156997.0,6.73534,0.034328,1.845591,0.125277324,231211008
resnet18_tile_conv2d_20_1441334,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,4,4,1,3,3,4,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,572366848.0,0.02,152567.0,5.723668,0.040396,2.0198,0.11447336,231211008
resnet18_tile_conv2d_20_1441338,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,4,4,1,3,3,8,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,564895744.0,0.0219,174068.0,5.648957,0.04093,1.86895,0.1237121583,231211008
resnet18_tile_conv2d_20_14413316,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,4,4,1,3,3,16,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,561160192.0,0.0256,215177.0,5.611602,0.041202,1.609453,0.1436570112,231211008
resnet18_tile_conv2d_20_14413332,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,4,4,1,3,3,32,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,675299328.0,0.0192,161759.0,6.752993,0.034238,1.783229,0.1296574656,231211008
resnet18_tile_conv2d_20_14413364,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,4,4,1,3,3,64,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,674164736.0,0.0191,161142.0,6.741647,0.034296,1.795602,0.1287654577,231211008
resnet18_tile_conv2d_20_144133128,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,4,4,1,3,3,128,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,673589248.0,0.0186,157219.0,6.735892,0.034325,1.84543,0.1252875912,231211008
resnet18_tile_conv2d_20_1771334,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,7,7,1,3,3,4,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,570781696.0,0.0194,152740.0,5.707817,0.040508,2.088041,0.1107316498,231211008
resnet18_tile_conv2d_20_1771338,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,7,7,1,3,3,8,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,564097024.0,0.0204,174342.0,5.64097,0.040988,2.009216,0.115075788,231211008
resnet18_tile_conv2d_20_17713316,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,7,7,1,3,3,16,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,560754688.0,0.0288,215406.0,5.607547,0.041232,1.431667,0.1614973536,231211008
resnet18_tile_conv2d_20_17713332,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,7,7,1,3,3,32,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,675090432.0,0.0191,161004.0,6.750904,0.034249,1.793141,0.1289422664,231211008
resnet18_tile_conv2d_20_17713364,1,1,1,9,9,512,3,3,512,512,1,7,7,512,1,7,7,1,3,3,64,1,9,9,128,3,3,128,1,1,7,7,1,2048.0,674054144.0,0.0206,161303.0,6.740541,0.034302,1.665146,0.1388551446,231211008
